qty,mfg,partnumber,value,description,designator,footprint,digikey,mouser,notes
3,,,1uF,,"C1 C5 C12",SMD0603,445-3452-1-ND,,
2,,,10uF,,"C13 C14",SMD0805,,81-GRM21R60J106KE19L,
2,,,12pF,,"C15 C16",SMD0603,,80-C0603C120C5G,"alternates: GRM1885C1H120FA01J"
3,,,0.1uF,,"C2 C4 C11",SMD0603,587-1245-1-ND,,
1,,,470pF,,C3,SMD0603,,77-VJ0603A471JXAAC,
2,,,18pF,,"C6 C7",SMD0603,,81-GRM1885C1H180GA,
0,,,open,"do not place","C8 R8",SMD0603,,,
0,,,,"do not place","C9 C10",SMD0603,,,
1,,,,,D1,SOD123,,771-PMEG3010ER115,
0,,,,"do not place",D2,SOD123,,,
0,,,MOLEX-48037,"do not place",JP1,USB-A-PLUG,,,
1,,,MOLEX-48037-NOHOLES,,JP23,USB-A-PLUG-NOHOLES,,538-48037-1000,
0,,,,"do not place",L1,SLF6028,,,
1,,,short,,L2,SMD0603,,71-CRCW0603000ZT-RT5,
1,,,,"12MHz xtal 18pF",Q1,SM49,,815-ABLS2-12-D4Y-T,
1,,,"24MHz 10ppm","24MHz xtal 10ppm",Q2,SM49,535-9701-1-ND,,
1,,,RED,,Q3,LED0603,,604-APT1608SRCPRV,
1,,,GREEN,,Q4,LED0603,,LTST-S270KGKT,
1,,,8.06k,,R1,SMD0603,,302-8.06K-RC,
2,,,1k,,"R10 R13",SMD0603,,652-CR0603-JW-102GLF,
1,,,220,,R11,SMD0603,,652-CR0603-JW-221GLF,
1,,,120,,R12,SMD0603,,301-120-RC,
1,,,1.02k,,R2,SMD0603,,71-CRCW0603-1.02K,
1,,,15.0k,,R3,SMD0603,,302-15K-RC,"alternates: CR0603-FX-1502ELF"
2,,,56k,,"R4 R9",SMD0603,,660-RK73B1JTTD563J,
1,,,12k,,R5,SMD0603,,660-RK73H1JTTD1202F,
1,,,10M,,R6,SMD0603,,301-10M-RC,
1,,,33k,,R7,SMD0603,,652-CR0603-JW-333GLF,
3,,,,,"S1 S2 S3",KSC-J,,611-KSC243JLFG,
1,,,MC13224V-LGA145,,U1,LGA145,,841-MC13224V,
1,,,FT2232HL,,U2,LQFP-64,768-1024-1-ND,,
1,,,MIC5205-BM5,"Adj. Vreg",U3,SOT-23-5,576-1262-1-ND,,
